Monitoring outputs/han_deberta_large_full/training_log.jsonl every 300s
Press Ctrl+C to stop

[20:03:35] No log entries yet. Process alive: True
[16:13:53] epoch=3 step=700 loss=0.6823 | process=ALIVE
[16:18:53] epoch=3 step=900 loss=0.6794 | process=ALIVE
[16:23:53] epoch=3 step=1100 loss=0.6787 | process=ALIVE
[16:28:53] epoch=3 step=1300 loss=0.6785 | process=ALIVE
[16:33:53] epoch=3 step=1500 loss=0.6791 | process=ALIVE
[16:38:53] epoch=3 step=1700 loss=0.6775 | process=ALIVE
[16:43:54] epoch=3 step=1900 loss=0.6776 | process=ALIVE
[16:48:54] epoch=3 step=2100 loss=0.6753 | process=ALIVE
[16:53:54] epoch=3 step=2300 loss=0.6748 | process=ALIVE
[16:58:54] epoch=3 step=2500 loss=0.6748 | process=ALIVE
[17:03:54] epoch=3 step=2700 loss=0.6752 | process=ALIVE
[17:08:54] epoch=3 step=2900 loss=0.6746 | process=ALIVE
[17:13:54] epoch=3 step=3100 loss=0.6746 | process=ALIVE
[17:18:54] epoch=3 step=3300 loss=0.6746 | process=ALIVE
[17:23:54] epoch=3 step=3500 loss=0.6744 | process=ALIVE
[17:28:54] epoch=3 step=3700 loss=0.6743 | process=ALIVE
[17:33:54] epoch=3 step=3950 loss=0.6739 | process=ALIVE
[17:38:54] epoch=3 step=4150 loss=0.6736 | process=ALIVE
[17:43:55] epoch=3 step=4400 loss=0.6739 | process=ALIVE
[17:48:55] epoch=3 step=4650 loss=0.6738 | process=ALIVE
[17:53:55] epoch=3 step=4850 loss=0.6735 | process=ALIVE
[17:58:55] epoch=3 step=5100 loss=0.6735 | process=ALIVE
[18:03:55] epoch=3 step=5350 loss=0.6727 | process=ALIVE
[18:08:55] epoch=3 step=5600 loss=0.6729 | process=ALIVE
[18:13:55] epoch=3 step=5800 loss=0.6731 | process=ALIVE
[18:18:55] epoch=3 step=6050 loss=0.6734 | process=ALIVE
[18:23:55] epoch=3 step=6250 loss=0.6728 | process=ALIVE
[18:28:55] epoch=3 step=6500 loss=0.6727 | process=ALIVE
[18:33:55] epoch=3 step=6700 loss=0.6727 | process=ALIVE
[18:38:55] epoch=3 step=6950 loss=0.6726 | process=ALIVE
[18:43:55] epoch=3 step=7200 loss=0.6727 | process=ALIVE
[18:48:56] epoch=3 step=7450 loss=0.673 | process=ALIVE
[18:53:56] epoch=3 step=7650 loss=0.673 | process=ALIVE
[18:58:56] epoch=3 step=7900 loss=0.6727 | process=ALIVE
[19:03:56] epoch=3 step=8100 loss=0.6729 | process=ALIVE
[19:08:56] epoch=3 step=8350 loss=0.6726 | process=ALIVE
[19:13:56] epoch=3 step=8550 loss=0.6725 | process=ALIVE
[19:18:56] epoch=3 step=8800 loss=0.6727 | process=ALIVE
[19:23:56] epoch=3 step=9050 loss=0.6726 | process=ALIVE
[19:28:56] epoch=3 step=9300 loss=0.6726 | process=ALIVE
[19:33:56] epoch=3 step=9500 loss=0.6725 | process=ALIVE
[19:38:57] epoch=3 step=9750 loss=0.6725 | process=ALIVE
[19:43:57] epoch=3 step=10000 loss=0.6724 | process=ALIVE
[19:48:57] epoch=3 step=10200 loss=0.6725 | process=ALIVE
[19:53:57] epoch=3 step=10450 loss=0.6721 | process=ALIVE
[19:58:57] epoch=3 step=10700 loss=0.672 | process=ALIVE
[20:03:57] epoch=3 step=10900 loss=0.672 | process=ALIVE
[20:08:57] epoch=3 step=11150 loss=0.6719 | process=ALIVE
[20:13:57] epoch=3 step=11400 loss=0.672 | process=ALIVE
[20:18:57] epoch=3 step=11600 loss=0.6721 | process=ALIVE
[20:23:57] epoch=3 step=11850 loss=0.6723 | process=ALIVE
[20:28:57] epoch=3 step=12100 loss=0.6723 | process=ALIVE
[20:33:57] epoch=3 step=12350 loss=0.6723 | process=ALIVE
[20:38:57] epoch=3 step=12550 loss=0.6723 | process=ALIVE
[20:43:57] epoch=3 step=12800 loss=0.6723 | process=ALIVE
[20:48:57] epoch=3 step=13050 loss=0.6721 | process=ALIVE
[20:53:58] epoch=3 step=13250 loss=0.6722 | process=ALIVE
[20:58:58] epoch=3 step=13500 loss=0.6721 | process=ALIVE
[21:03:58] epoch=3 step=13750 loss=0.6721 | process=ALIVE
[21:08:58] epoch=3 step=14000 loss=0.672 | process=ALIVE
[21:13:58] epoch=3 step=14200 loss=0.6719 | process=ALIVE
[21:18:58] epoch=3 step=14450 loss=0.6719 | process=ALIVE
[21:23:58] epoch=3 step=14700 loss=0.6719 | process=ALIVE
[21:28:58] epoch=3 step=14900 loss=0.6719 | process=ALIVE
[21:33:58] epoch=3 step=15150 loss=0.6721 | process=ALIVE
[21:38:58] epoch=3 step=15400 loss=0.672 | process=ALIVE
[21:43:59] epoch=3 step=15650 loss=0.6721 | process=ALIVE
